$10 Mins	10 minut
$15 Mins	15 minut
$30 Mins	30 minut
$45 Mins	45 minut
$5 Mins	5 minut
$60 Mins	60 minut
$[NEW SAVE]	[NOVÁ POZICE]
$ABORT	ZRUŠIT
$acc	Přesnost
$ACCEPT	POTVRDIT
$ACCEPTTRADE	POTVRDIT OBCHOD
$Activate	Aktivovat
$Actor Fade	Mizení postav
$ADD	PŘIDAT
$ADD-ONS	ROZŠÍŘENÍ
$ADJUST	PŘIZPŮSOBIT
$AGILITY	HBITOST
$AP	AB
$APPLY	POUŽÍT
$Assign	PŘIŘADIT
$ASSIGN FAVORITE	PŘIDAT K OBLÍBENÝM
$Attach	PŘIPOJIT
$ATTACH MOD	PŘIPOJIT MODIFIKACI
$ATTACH WIRE	PŘIPOJIT KABEL
$AttemptsRemaining:	Zbývající pokusy:
$Audio	Zvuk
$AUDIO	ZVUK
$Auto Attempt	Automatický pokus
$AUTO BUILD	AUTO
$AUTO COOK	AUTO VAŘENÍ
$AutoMove	Automatická chůze
$AVAILABLE MODS:	DOSTUPNÉ MODIFIKACE:
$AVAILABLE RECIPES:	DOSTUPNÉ NÁVODY:
$Back	Zpět
$BACK	ZPĚT
$BEARD	VOUSY
$BEDS	POSTELE
$BETHESDA.NET	BETHESDA.NET
$BODY	TĚLO
$BODY PART	ČÁST TĚLA
$Brightness	Jas
$BUILD	VYROBIT
$Build	Vyrobit
$Build Mod?	Vytvořit modifikaci?
$BUILD WITH	POSTAV S POUŽITÍM
$BuildConfirm1	Postav s použitím:
$BuildConfirm2	Odstranit část?
$BuildConfirm3	Připojit část?
$BuildConfirm4	Odpojit část?
$BUY	KOUPIT
$CANCEL	ZRUŠIT
$Cancel	Zrušit
$CancelTradeInProgress	Zrušit probíhající obchod?
$CAP	ZÁTKA
$CAPS	ZÁTKY
$Caravan	Karavana
$CATEGORIES	KATEGORIE
$Change sex	Změnit pohlaví
$CHANGESEX	ZMĚNIT POHLAVÍ
$CHANGEUSER	ZMĚNIT PROFIL
$charge	Nabít
$CHARISMA	CHARISMA
$Choose	ZVOLIT
$Choose (#)	ZVOLIT (#)
$CHOOSE COMPONENTS	VYBRAT KOMPONENTY
$CLOSE	ZAVŘÍT
$COLOR	BARVA
$Combat	Souboj
$Companion Enabled	Pip-Boy Aplikace Povolena
$Compass_East	V
$Compass_North	S
$Compass_South	J
$Compass_West	Z
$COMPONENT VIEW	ZOBRAZENÍ KOMPONENT
$COMPONENTS	KOMPONENTY
$Confirm	Potvrdit
$CONFIRM	POTVRDIT
$Confirm change preset	Zvolit novou předvolbu a zahodit současné změny?
$Confirm character	Potvrdit postavu?
$Confirm character changes	Potvrdit změny postavy?
$ConfirmContinue	Pokračovat z poslední uložené pozice?
$ConfirmFastTravel	Chceš rychle cestovat do vybrané lokace?
$ConfirmLoad	Načíst tuto hru?
$ConfirmNew	Začít novou hru?
$ConfirmPerkSelect	Potvrdit výběr?
$ConfirmTrade	Potvrdit obchod?
$CONTAINER	ÚLOŽIŠTĚ
$CONTINUE	POKRAČOVAT
$Controller	Ovladač
$CONTROLS	OVLÁDÁNÍ
$Controls	Ovládání
$COOK	VAŘIT
$CookConfirm1	Připravit za použití:
$Craft	Vyrobit:
$CRAFT	VYROBIT
$Crafting	Výroba
$CRATERFACE	HLUBOKÉ JIZVY
$CREDITS	TITULKY
$CREW	AUTOŘI
$Crime	Zločin
$CRIT	KRIT
$Crosshair	Zaměřovač
$CURRENT MODS:	SOUČASNÉ MODIFIKACE:
$CYCLE DAMAGE	ZMĚNIT POŠKOZENÍ
$Cycle Parts	ZMĚNIT ČÁST
$Cycle Targets	ZMĚNIT CÍL
$Damage Resistance	Odolnost vůči zranění
$DANGER	NEBEZPEČÍ
$DATA	DATA
$DeconnectedController	Připojte ovladač a stiskněte tlačítko A pro pokračování.
$Default	Výchozí
$DEFAULTS	Výchozí
$DELETE	SMAZAT
$Delete	Smazat
$Delete this save?	Smazat tuto uloženou pozici?
$Desktop	Na plochu
$DESKTOP	NA PLOCHU
$Detach	ODPOJIT
$DETAILS	DETAILY
$Dialogue Camera	Dialogová kamera
$Dialogue Subtitles	Dialogové titulky
$DialogueNegative	Negativní
$DialogueNeutral	Neutrální
$DialoguePositive	Pozitivní
$DialogueQuestion	Otázka
$Difficulty	Obtížnost
$DIRT		BLÁTO
$Disabled	Deaktivováno
$DISMISS	PROPUSTIT
$DISPLAY	ZOBRAZENÍ
$Display	Zobrazení
